MarkettypeID	TradingMonth	RiskPremium1	RiskPremium2	SMB1	SMB2	HML1	HML2
P9705	2018-10	-.107917	-.096917	.022605	.030442	.025044	.020952
P9706	2018-10	-.079917	-.081917	-.007167	-.007427	.053437	.054699
P9707	2018-10	-.097917	-.099917	-.007651	-.011385	-.028962	-.025653
P9709	2018-10	-.081917	-.082917	-.008404	-.007329	.054147	.054169
P9710	2018-10	-.081917	-.082917	-.008073	-.006727	.052578	.052699
P9705	2018-09	-.014917	-.015917	.004532	-.001489	-.020700	-.023861
P9706	2018-09	.032083	.028083	-.042516	-.043938	.017339	.018789
P9707	2018-09	-.011917	-.009917	.006460	.002664	-.026884	-.012376
P9709	2018-09	.029083	.024083	-.041718	-.043415	.016971	.017882
P9710	2018-09	.029083	.023083	-.040730	-.042431	.016041	.017157
P9705	2018-08	-.082917	-.085917	-.006644	-.009233	-.022144	-.027826
P9706	2018-08	-.051917	-.057917	-.023054	-.024710	.028052	.020698
P9707	2018-08	-.044917	-.043917	.023546	.022534	-.019730	-.012482
P9709	2018-08	-.053917	-.059917	-.025434	-.026427	.024995	.017903
P9710	2018-08	-.052917	-.059917	-.025171	-.026302	.024565	.017625
P9705	2018-07	-.027917	-.033917	.008373	.000245	-.006225	-.010544
P9706	2018-07	.020083	.014083	-.008483	-.011912	.027950	.023311
P9707	2018-07	.006083	.003083	.001238	-.014506	-.016675	-.008713
P9709	2018-07	.017083	.009083	-.015661	-.020741	.029620	.027455
P9710	2018-07	.017083	.009083	-.015879	-.021030	.030134	.027725
P9705	2018-06	-.089917	-.085917	-.006187	-.005828	-.012719	-.012902
P9706	2018-06	-.077917	-.081917	-.037945	-.035095	.035032	.034822
P9707	2018-06	-.056917	-.051917	-.016961	-.014853	.011781	.019350
P9709	2018-06	-.078917	-.081917	-.035620	-.031959	.029481	.028286
P9710	2018-06	-.077917	-.080917	-.034878	-.031292	.030187	.029095
P9705	2018-05	-.034917	-.030917	.029472	.026611	-.016993	-.009429
P9706	2018-05	.000083	.001083	-.023283	-.016388	-.011091	-.002873
P9707	2018-05	.000083	-.000917	-.045152	-.045439	-.020372	-.011659
P9709	2018-05	-.001917	-.001917	-.024876	-.017518	-.007963	.001235
P9710	2018-05	-.001917	-.001917	-.025186	-.017970	-.008185	.001169
P9705	2018-04	-.037917	-.034917	.025481	.031450	-.019166	-.017618
P9706	2018-04	-.033917	-.034917	-.012827	-.007940	.019037	.019056
P9707	2018-04	-.075917	-.072917	-.000682	-.008466	-.082667	-.076200
P9709	2018-04	-.033917	-.034917	-.008034	-.002483	.014932	.014135
P9710	2018-04	-.034917	-.035917	-.009140	-.003160	.011335	.011682
P9705	2018-03	.098083	.105083	.040519	.059186	-.011258	-.014515
P9706	2018-03	-.027917	-.022917	.059442	.058169	-.053327	-.052241
P9707	2018-03	-.005917	-.005917	.042402	.040554	-.020890	-.019148
P9709	2018-03	-.020917	-.013917	.064925	.065594	-.060277	-.061867
P9710	2018-03	-.020917	-.012917	.064332	.065030	-.060292	-.062014
P9705	2018-02	-.012917	-.013917	-.045856	-.050217	.025672	.028869
P9706	2018-02	-.064917	-.061917	-.003740	-.004963	-.014298	-.012713
P9707	2018-02	-.042917	-.041917	-.011199	-.009302	.023077	.021868
P9709	2018-02	-.062917	-.057917	.000969	-.000495	-.019408	-.019173
P9710	2018-02	-.061917	-.057917	-.000891	-.001759	-.019603	-.018683
P9705	2018-01	-.041917	-.050917	-.032998	-.030084	.012864	.011811
P9706	2018-01	.056083	.045083	-.076698	-.074047	.074467	.071965
P9707	2018-01	.002083	.000083	-.051616	-.052022	.004950	.012113
P9709	2018-01	.050083	.037083	-.078848	-.075017	.072641	.070543
P9710	2018-01	.049083	.036083	-.078077	-.074522	.072248	.070283
P9705	2017-12	-.012917	-.014917	-.015130	-.011634	.012852	.013812
P9706	2017-12	.004083	.001083	-.030942	-.028584	-.005430	-.003611
P9707	2017-12	.029083	.025083	-.030559	-.028185	.044628	.041134
P9709	2017-12	.003083	.000083	-.029998	-.027433	-.005107	-.002605
P9710	2017-12	.004083	.000083	-.029861	-.027395	-.003610	-.001809
P9705	2017-11	-.071917	-.071917	-.020161	-.025021	-.017697	-.020635
P9706	2017-11	-.019917	-.027917	-.051344	-.052341	.035886	.027358
P9707	2017-11	-.070917	-.067917	.008392	.010588	.009479	.019836
P9709	2017-11	-.022917	-.030917	-.050931	-.052121	.034324	.025997
P9710	2017-11	-.023917	-.031917	-.050325	-.051303	.033110	.025812
P9705	2017-10	-.021917	-.014917	-.018312	-.012437	-.007278	.002731
P9706	2017-10	.017083	.015083	-.058380	-.051691	-.012450	-.008822
P9707	2017-10	.040083	.033083	-.078230	-.070340	.039918	.031676
P9709	2017-10	.015083	.012083	-.058818	-.052290	-.008854	-.003834
P9710	2017-10	.015083	.013083	-.058970	-.052391	-.008085	-.003922
P9705	2017-09	.024083	.031083	.020192	.021726	-.013419	-.017782
P9706	2017-09	.004083	.003083	-.002189	-.004085	-.022573	-.030241
P9707	2017-09	.048083	.047083	-.004300	.000363	.029213	.028999
P9709	2017-09	.005083	.005083	.002150	.001549	-.025074	-.033323
P9710	2017-09	.006083	.006083	.002865	.002363	-.023491	-.031445
P9705	2017-08	.061083	.073083	.007624	.014155	-.010033	-.012118
P9706	2017-08	.026083	.028083	-.000244	.002982	-.006987	-.004014
P9707	2017-08	-.008917	-.006917	.013710	.009803	-.011906	-.013054
P9709	2017-08	.028083	.032083	.003491	.007509	-.012003	-.010869
P9710	2017-08	.027083	.031083	.003474	.007151	-.011593	-.010853
P9705	2017-07	-.043917	-.048917	-.033988	-.043068	-.001537	-.000997
P9706	2017-07	.038083	.029083	-.026703	-.032723	.042949	.031448
P9707	2017-07	.019083	.020083	.002926	.004350	.003206	.009032
P9709	2017-07	.033083	.022083	-.034619	-.040828	.045625	.037852
P9710	2017-07	.033083	.022083	-.033301	-.039482	.044479	.037388
P9705	2017-06	.026083	.024083	-.014905	-.007615	.000926	-.005209
P9706	2017-06	.039083	.038083	-.007764	-.008360	-.015775	-.017154
P9707	2017-06	.057083	.056083	-.028567	-.036394	.001036	-.003853
P9709	2017-06	.038083	.037083	-.010356	-.010816	-.013492	-.015057
P9710	2017-06	.039083	.037083	-.010480	-.011100	-.013583	-.014945
P9705	2017-05	-.060917	-.067917	-.017939	-.023205	.002273	-.001344
P9706	2017-05	-.007917	-.017917	-.070977	-.069738	.058087	.060195
P9707	2017-05	-.037917	-.038917	-.013153	-.013826	.027380	.029071
P9709	2017-05	-.010917	-.021917	-.066234	-.064528	.052149	.052374
P9710	2017-05	-.011917	-.022917	-.064789	-.063556	.053222	.052986
P9709	2017-04	-.021917	-.026917	-.049121	-.048142	.034341	.036350
P9710	2017-04	-.020917	-.026917	-.048764	-.047530	.033004	.035316
P9705	2017-04	-.048917	-.052917	-.057792	-.057581	.053524	.047915
P9706	2017-04	-.019917	-.024917	-.050281	-.049712	.033807	.034812
P9707	2017-04	-.005917	-.003917	-.021675	-.014938	.033318	.027742
P9709	2017-03	-.005917	-.007917	-.021370	-.017533	.015369	.015224
P9707	2017-03	-.012917	-.012917	-.035029	-.031321	.043023	.039619
P9706	2017-03	-.004917	-.006917	-.022889	-.020177	.012455	.011803
P9705	2017-03	-.015917	-.010917	-.011168	-.008582	.024415	.028002
P9710	2017-03	-.005917	-.007917	-.022008	-.018018	.015241	.015241
P9705	2017-02	.036083	.041083	.009511	.009302	-.005172	-.007387
P9706	2017-02	.024083	.032083	.015670	.019216	.002467	-.008236
P9707	2017-02	.029083	.031083	-.008515	-.006687	.034295	.034575
P9709	2017-02	.025083	.033083	.016273	.018230	-.000211	-.008310
P9710	2017-02	.025083	.033083	.015630	.017792	-.001107	-.008538
P9705	2017-01	-.046917	-.054917	-.009668	-.015687	-.012072	-.003705
P9706	2017-01	.017083	.008083	-.041539	-.040664	.035685	.031240
P9707	2017-01	-.008917	-.006917	-.011889	-.009532	.044422	.044193
P9709	2017-01	.013083	.003083	-.043778	-.043668	.036502	.032619
P9710	2017-01	.013083	.002083	-.042751	-.042773	.036861	.033407
P9709	2016-12	-.048917	-.054917	.017761	.008965	.019459	.015516
P9705	2016-12	-.092917	-.097917	.037461	.021649	-.000284	.018381
P9706	2016-12	-.044917	-.049917	.025667	.017331	.008204	.002286
P9707	2016-12	-.027917	-.028917	.025824	.025555	.011225	.009308
P9710	2016-12	-.047917	-.053917	.018057	.009551	.020091	.016528
P9709	2016-11	.043083	.040083	-.007113	-.002953	.023869	.020979
P9705	2016-11	.022083	.026083	.015726	.018946	.006342	.010255
P9706	2016-11	.044083	.041083	-.010789	-.006615	.025992	.021264
P9707	2016-11	.015083	.014083	-.011351	-.013905	-.002253	.002231
P9710	2016-11	.042083	.039083	-.007228	-.003382	.022961	.020203
P9705	2016-10	.022083	.030083	.031210	.031960	-.003233	.001816
P9706	2016-10	.028083	.029083	.017713	.018821	.003598	.008064
P9707	2016-10	-.027917	-.029917	.019120	.014517	.037339	.042306
P9710	2016-10	.026083	.028083	.017490	.019245	.005182	.009840
P9709	2016-10	.027083	.029083	.017994	.019910	.005994	.010653
P9709	2016-09	-.020917	-.023917	.028972	.023567	-.001486	-.004074
P9705	2016-09	-.023917	-.030917	.032841	.028255	-.006456	-.010512
P9706	2016-09	-.020917	-.022917	.034503	.030221	-.005113	-.007079
P9707	2016-09	.003083	.002083	.011361	.008598	.023665	.028693
P9710	2016-09	-.020917	-.022917	.027317	.022507	-.003604	-.005219
P9706	2016-08	.040083	.039083	.023317	.021521	.003114	.002551
P9705	2016-08	.047083	.050083	.017149	.019366	.024953	.031901
P9710	2016-08	.040083	.040083	.022333	.021493	.006612	.009048
P9707	2016-08	.023083	.025083	.007126	.006213	-.006424	-.001792
P9709	2016-08	.040083	.040083	.022910	.021856	.007629	.009520
P9709	2016-07	.015083	.009083	-.025981	-.029892	.038619	.038865
P9707	2016-07	.020083	.021083	-.013783	-.015327	.071988	.078179
P9710	2016-07	.015083	.009083	-.025412	-.029381	.039567	.039815
P9706	2016-07	.020083	.016083	-.019169	-.020996	.031923	.031738
P9705	2016-07	-.059917	-.060917	.003298	-.003877	.000624	.010114
P9710	2016-06	.021083	.027083	.049162	.048096	-.011975	-.007787
P9706	2016-06	.017083	.022083	.039646	.036993	-.011992	-.007213
P9707	2016-06	.008083	.010083	.027052	.027110	.004825	.004815
P9705	2016-06	.078083	.077083	.019148	.017409	.063230	.061203
P9709	2016-06	.021083	.027083	.050193	.049007	-.012338	-.008127
P9709	2016-05	-.002917	-.002917	-.030435	-.023789	.003401	.005354
P9705	2016-05	.018083	.026083	.006109	-.001397	.027470	.036293
P9706	2016-05	-.003917	-.004917	-.039311	-.033057	.001050	.003400
P9707	2016-05	-.055917	-.058917	-.004825	-.005602	.015823	.015183
P9710	2016-05	-.003917	-.003917	-.030039	-.023511	.004137	.006065
P9705	2016-04	-.027917	-.028917	.039298	.031294	-.026098	-.028979
P9706	2016-04	-.020917	-.022917	.037517	.030072	.002064	-.001215
P9707	2016-04	-.021917	-.024917	.000594	-.004231	-.015112	-.015997
P9710	2016-04	-.021917	-.022917	.033393	.025808	.002072	-.001134
P9709	2016-04	-.021917	-.022917	.034052	.026493	.001917	-.000939
P9709	2016-03	.134083	.140083	.064168	.065115	-.061516	-.053407
P9705	2016-03	.218083	.217083	-.007258	-.007749	.036319	.028349
P9706	2016-03	.129083	.133083	.061977	.063649	-.062220	-.052632
P9707	2016-03	.092083	.094083	.005025	.006676	-.066066	-.074204
P9710	2016-03	.133083	.139083	.062097	.063272	-.060982	-.053385
P9705	2016-02	-.071917	-.065917	-.006141	-.007388	.026096	.030319
P9706	2016-02	-.023917	-.024917	.004860	.002827	.012250	.007223
P9707	2016-02	-.036917	-.038917	-.013313	-.012969	-.001481	.001579
P9710	2016-02	-.026917	-.028917	-.000877	-.003548	.015637	.012809
P9709	2016-02	-.026917	-.028917	-.000701	-.003298	.015814	.012720
P9709	2016-01	-.242917	-.250917	-.065598	-.060070	.057345	.048609
P9705	2016-01	-.311917	-.306917	-.013245	-.012112	.001642	.002374
P9706	2016-01	-.237917	-.244917	-.063596	-.057106	.056630	.046535
P9707	2016-01	-.161917	-.159917	-.001933	-.005983	.026119	.014970
P9710	2016-01	-.240917	-.248917	-.062370	-.057786	.057296	.048923
P9705	2015-12	.032083	.016083	.078318	.070167	-.007100	-.009152
P9706	2015-12	.033083	.033083	.072198	.061219	-.036090	-.034689
P9707	2015-12	.089083	.092083	.056501	.049772	-.036784	-.051121
P9710	2015-12	.034083	.033083	.070869	.060350	-.029720	-.029922
P9709	2015-12	.033083	.032083	.071379	.060879	-.030819	-.030325
P9709	2015-11	.033083	.043083	.115680	.112478	-.029977	-.030254
P9705	2015-11	.125083	.140083	.042621	.046753	.024634	.014225
P9706	2015-11	.027083	.034083	.111880	.109446	-.030140	-.028464
P9707	2015-11	.059083	.062083	.045603	.049744	-.030854	-.037825
P9710	2015-11	.034083	.044083	.113603	.110359	-.028209	-.030003
P9705	2015-10	.222083	.236083	.073330	.070585	-.071916	-.071283
P9706	2015-10	.126083	.133083	.106308	.102706	-.084965	-.081349
P9707	2015-10	.131083	.137083	.067411	.070223	-.048740	-.044211
P9710	2015-10	.131083	.140083	.107971	.104952	-.086640	-.083334
P9709	2015-10	.131083	.140083	.108769	.105729	-.085249	-.082476
P9709	2015-09	-.050125	-.049125	.013906	.015352	-.007356	-.017848
P9705	2015-09	.036875	.043875	-.013457	-.013937	-.029136	-.030310
P9706	2015-09	-.054125	-.055125	.003205	.001105	.001465	-.006950
P9707	2015-09	-.004125	-.004125	-.004277	-.008040	-.050117	-.043683
P9710	2015-09	-.049125	-.048125	.012893	.014387	-.008273	-.017828
P9705	2015-08	-.244125	-.247125	.057234	.045385	-.012666	-.012436
P9706	2015-08	-.142125	-.147125	.011870	.013196	.004538	-.003976
P9707	2015-08	-.171125	-.172125	.003653	.000786	-.021147	-.024749
P9710	2015-08	-.148125	-.155125	.005318	.004099	.011191	.005060
P9709	2015-08	-.148125	-.154125	.005223	.003984	.010289	.003916
P9709	2015-07	-.146333	-.148333	-.059522	-.046215	.028096	.032254
P9705	2015-07	-.152333	-.153333	-.046701	-.031839	-.023934	-.027709
P9706	2015-07	-.146333	-.147333	-.058883	-.043381	.032988	.039631
P9707	2015-07	-.184333	-.185333	-.008810	.002655	.007041	.003192
P9710	2015-07	-.147333	-.149333	-.059298	-.045557	.027686	.032174
P9705	2015-06	-.213333	-.222333	-.002889	.005226	-.028376	-.033628
P9706	2015-06	-.067333	-.079333	-.037502	-.047916	.087961	.086770
P9707	2015-06	-.112333	-.111333	.002405	-.017122	.039150	.058578
P9710	2015-06	-.076333	-.092333	-.048050	-.057611	.090140	.092240
P9709	2015-06	-.076333	-.091333	-.048289	-.056830	.087549	.089432
P9709	2015-05	.060458	.092458	.241196	.241697	-.147872	-.144775
P9705	2015-05	.374458	.409458	.041941	.053516	.094420	.093232
P9706	2015-05	.045458	.069458	.213819	.215314	-.155084	-.147306
P9707	2015-05	.135458	.147458	.236758	.264653	.109398	.078425
P9710	2015-05	.062458	.093458	.243917	.245627	-.141985	-.141866
P9705	2015-04	.211250	.216250	.047594	.040277	-.022227	-.028284
P9706	2015-04	.173250	.172250	.038973	.027537	-.000984	.001434
P9707	2015-04	.316250	.312250	.050722	.059687	-.028854	-.034339
P9710	2015-04	.178250	.178250	.037531	.026936	-.003878	-.002479
P9709	2015-04	.175250	.174250	.035606	.024687	-.000337	.001177
P9709	2015-03	.140250	.149250	.110666	.108002	-.041366	-.046674
P9705	2015-03	.257250	.260250	.018632	.006382	.077070	.095996
P9706	2015-03	.135250	.142250	.103054	.100444	-.043522	-.049036
P9707	2015-03	.051250	.055250	.022251	.023759	.008753	.005753
P9710	2015-03	.138250	.147250	.107349	.104510	-.042328	-.046811
P9705	2015-02	.143042	.145042	-.016566	-.017959	-.012555	-.013083
P9706	2015-02	.032042	.036042	.035912	.037966	-.042369	-.039209
P9707	2015-02	.031042	.032042	-.002182	.003908	-.019492	-.012351
P9710	2015-02	.036042	.042042	.040034	.041837	-.047462	-.047256
P9709	2015-02	.036042	.042042	.040994	.042669	-.047361	-.047667
